id,trigger,conditions,script,text,options,notes
,,,,,,
,,,,,,
,,,,,,
# Remnant brawl mission,,,,,,
nex_remBrawl_blurb,nex_remBrawl_blurb,,"Highlight ""Special request""","""Специальный запрос, который может выполнить только $playerName. Запланирована масштабная операция Гегемонии против самости. Требуется помощь в раскрытии заговора.""",,
nex_remBrawl_offerOption,nex_remBrawl_option,,SetOptionColor nex_remBrawl_start highlight,,nex_remBrawl_start:Спросить об операции Гегемонии,
nex_remBrawl_missionText,DialogOptionSelected,$option == nex_remBrawl_start,$missionId = nex_remBrawl,"""Другие агенты прислали себе предупреждение. Станция самости известна врагам, но какая именно, неизвестно. Чтобы уничтожить этот ключевой актив, требуется сотрудничество между Гегемонией и Луддитской церковью, невиданное с момента окончания первой войны.

""Защита самости усиливается, все доступные активы, но без уверенности в том, куда упадет молот, будет трудно. Даже тогда будет трудно. Требуется помощь $playerName.""","nex_remBrawl_missionText2:""Что вам нужно, чтобы я сделал?""",
nex_remBrawl_missionText2,DialogOptionSelected,$option == nex_remBrawl_missionText2,"Call $global.nex_remBrawl_ref showMap ""Origin: $nex_remBrawl_stragglerOriginName""
Highlight transponder ""follow from front""","""Известно об одном участвующем флоте Гегемонии, задержан. Скоро покинет $nex_remBrawl_stragglerOriginName, чтобы присоединиться к операции. Если $playerName последует, узнает район их сосредоточения, оттуда их цель выведет. Затем присоединится к обороне местоположения.

""Другие агенты могут сообщить вам об этом. Взломанный транспондер на флагмане; пока $playerFirstName находится поблизости, местоположение будет точно известно.

""Неизвестно, как далеко придется лететь. Возьмите много топлива. И старайтесь следовать спереди.""",nex_remBrawl_missionText3:Продолжить,
nex_remBrawl_missionText3,DialogOptionSelected,$option == nex_remBrawl_missionText3,"Highlight $nex_remBrawl_stragglerOriginName $nex_remBrawl_reward
AddTextSmall ""После запуска эта миссия может прогрессировать без вмешательства игрока. Будьте готовы сосредоточиться на ней в ущерб другим задачам и подумайте о том, чтобы оставить медленные корабли позади, но будьте готовы к интенсивным боям."" highlight","""За это себеподобные готовы предложить щедрую награду. $nex_remBrawl_reward кредитов. Но $personName знает, $playerName сделает это из дружбы к себе и себеподобным.""","nex_remBrawl_accept:Принять
nex_remBrawl_declineAlt:""Дайте мне немного времени на подготовку.""
nex_remBrawl_decline:Отклонить",
nex_remBrawl_accept,DialogOptionSelected,$option == nex_remBrawl_accept,"Call $mHub accept $missionId
Call $mHub returnToList","""Спасибо, $playerFirstName. Это дело сам и самость запомнят.""",,
nex_remBrawl_declineAlt,DialogOptionSelected,$option == nex_remBrawl_declineAlt,"ShowPersonVisual
Call $mHub returnToList","""Конечно. Но, пожалуйста, поторопитесь, $playerFirstName.""",,
nex_remBrawl_decline,DialogOptionSelected,$option == nex_remBrawl_decline,Call $mHub doCleanup,"""...""

Вы чувствуете, что $personFirstName расстроен этим отказом. После нескольких вздохов аватар $hisOrHer исчезает с вашего дисплея.",cutCommLink:Отключиться,
,,,,,,
nex_remBrawl_attackerHail,Nex_RemBrawlSusHail,,"$entity.ignorePlayerCommRequests = true
Call $entity.nex_remBrawl_ref updateData
Highlight spy
SetStoryOption nex_remBrawl_offerHelp1 1 nex_remBrawl_smoothtalk ui_char_spent_story_point ""Talked your way into a major Hegemony naval operation""","""Стой, капитан! Эта система является закрытой военной зоной. Что вы здесь делаете?""\r\n\r\n$personRank смотрит на вас с подозрением. ""Вы шпион?""","nex_remBrawl_offerHelp1:""Я здесь, чтобы помочь в вашей операции.""
nex_remBrawl_attackerConvo1:""Просто проездом, $personRank.""",
nex_remBrawl_attackerHailHyperspace,Nex_RemBrawlSusHail,$entity.inHyperspace score:5,"$entity.ignorePlayerCommRequests = true
Call $entity.nex_remBrawl_ref updateData
Highlight spy
SetStoryOption nex_remBrawl_offerHelp1 1 nex_remBrawl_smoothtalk ui_char_spent_story_point ""Talked your way into a major Hegemony naval operation""","""Стой, капитан! Вы вмешиваетесь в военные учения. Что вы здесь делаете?""\r\n\r\n$personRank смотрит на вас с подозрением. ""Вы шпион?""","nex_remBrawl_offerHelp1:""Я здесь, чтобы помочь в вашей операции.""
nex_remBrawl_attackerConvo1:""Просто проездом, $personRank.""",
nex_remBrawl_attackerConvo1,DialogOptionSelected,$option == nex_remBrawl_attackerConvo1,"SetStoryOption nex_remBrawl_offerHelp1 1 nex_remBrawl_smoothtalk ui_char_spent_story_point ""Talked your way into a major Hegemony naval operation""","""Что-то не верится! Вы появляетесь здесь, в глуши, где мы случайно проводим совершенно секретную операцию—""

$HeOrShe вздрагивает, а затем смотрит на вас, как будто это ваша вина. Что технически так и есть.

""...поэтому вам потребуется отвести ваш $shipOrFleet и подчиниться задержанию на время. Мы—"" в голосе $hisOrHer появляется оттенок извинения ""— вернем ваш $shipOrFleet, как только это недоразумение закончится, и компенсируем вам неудобства.""","nex_remBrawl_offerHelp1:""Позвольте мне помочь в вашей операции.""
nex_remBrawl_attackerConvo2:""Боюсь, я не могу согласиться.""",
nex_remBrawl_attackerConvo2,DialogOptionSelected,$option == nex_remBrawl_attackerConvo2,,"The $personRank's glare turns positively absolute-zero. ""That was not a request, captain,"" $heOrShe all but snarls. You will stand down at once, or be destroyed!""","nex_remBrawl_attackerConvoEnd:""Поднять щиты!""",
nex_remBrawl_attackerConvoEnd,DialogOptionSelected,$option == nex_remBrawl_attackerConvoEnd,Call $entity.nex_remBrawl_ref violentEncounter,"Ваш офицер связи выключает голографическую трансляцию, оставляя мимолетный призрачный образ лица $personRank, парящий в воздухе. Ваш $shipOrFleet уже переходит в боевую готовность.",cutCommLinkNoText:Продолжить,
nex_remBrawl_attackerOfferHelp1,DialogOptionSelected,$option == nex_remBrawl_offerHelp1,,"""Вы серьезно?""

Вы объясняете, что знаете о планах Гегемонии в отношении станции Ремнантов в $nex_remBrawl_targetSystemName, и как вы можете помочь. Ремнанты еще не знают, что вы обратились против них; следовательно, вы сможете застать их врасплох. В конце концов, это не что иное, как ваш долг как гражданина Домена и дитя Матери-Церкви победить мерзость ИИ, где бы она ни возникла.

$personRank кладет руку на $hisOrHer лоб. ""Минутку, пожалуйста. Я... это вопрос для адмирала.""",nex_remBrawl_offerHelp2:Продолжить,
nex_remBrawl_attackerOfferHelp2,DialogOptionSelected,$option == nex_remBrawl_offerHelp2,Call $entity.nex_remBrawl_ref showAdmiral,"Изображение офицера исчезает с вашего экрана, заменяясь гербом $faction. Через несколько минут оно появляется снова, вместе с изображением фигуры в форме адмирала Гегемонии.

""Итак. Я слышал, у вас есть предложение для меня"".",nex_remBrawl_offerHelp3:Продолжить,
nex_remBrawl_attackerOfferHelp3,DialogOptionSelected,$option == nex_remBrawl_offerHelp3,,"После вашего объяснения адмирал медленно кивает. ""Действительно, любопытный план. Но он может дать нам преимущество, необходимое для борьбы с этими машинами"".

$nex_remBrawl_admiral_HeOrShe осматривает вас, как необычный артефакт Домена. ""Вот что вы можете для нас сделать. Отправляйтесь в систему $nex_remBrawl_targetSystemName и разведайте их позиции, в частности их станцию. Затем передайте нам закодированные данные. К тому времени, когда мы начнем наше наступление, им будет несколько дней, но это все равно будет ценно"".

Адмирал смотрит на вас, один глаз больше другого. ""Если, конечно, вы действительно на нашей стороне"".","nex_remBrawl_offerHelp4:""Можете на меня рассчитывать.""
nex_remBrawl_offerHelp4Alt:(ложь) ""Можете на меня рассчитывать.""",
nex_remBrawl_attackerOfferHelp4,DialogOptionSelected,$option == nex_remBrawl_offerHelp4,"Call $entity.nex_remBrawl_ref agreeScout
ShowDefaultVisual
EndConversation
$player.ethosTruth++","""Превосходно. А теперь уходите. Мы будем ждать вашего сигнала.""

Офицеры отдают вам несколько насмешливое приветствие и почти одновременно отключают связь.",,
nex_remBrawl_attackerOfferHelp4Alt,DialogOptionSelected,$option == nex_remBrawl_offerHelp4Alt,"$option = nex_remBrawl_offerHelp4 0
FireBest DialogOptionSelected
$player.ethosLiar++",,,
,,,,,,
nex_remBrawl_scoutObjectInteraction,OpenInteractionDialog,"$nex_remBrawl_target score:1000 
Call $nex_remBrawl_ref updateData
","SetStoryOption nex_remBrawl_scoutSendTrue 0 nex_remBrawl_betray ui_char_spent_story_point ""Betrayed $personName""","Вы обнаружили станцию и готовы передать данные своим друзьям, ожидающим входа в систему и убийства дракона. Датчики вашего $shipOrFleet непрерывно работают с тех пор, как вы вошли в систему, отслеживая все в поле зрения. Это может помочь им более эффективно нанести удар по Осколкам.

...или вы можете подделать показания и оставить их не в лучшем положении, или даже в худшем, чем если бы вы ничего не отправляли.

Ваш офицер связи смотрит на вас, готовый передать закодированный гиперволновой сигнал. Благодаря шифрованию, Осколки могут что-то подозревать, но они не должны знать, что вы передали, пока не станет слишком поздно.","nex_remBrawl_scoutSendTrue:Отправить истинные данные
nex_remBrawl_scoutSendFalse:Отправить фальсифицированные данные
defaultLeave:Уйти",
nex_remBrawl_scoutSendTrue,DialogOptionSelected,$option == nex_remBrawl_scoutSendTrue,"Call $nex_remBrawl_ref scoutTrue
$player.ethosAntiAI++","Вы передаете точные разведывательные данные.

Надеюсь, мощи военной машины Гегемонии будет достаточно, чтобы прорвать оборону Осколков и уничтожить станцию, как в дни после Первой Войны ИИ. Если нет... вам придется закончить работу самостоятельно.",defaultLeave:Покинуть,
nex_remBrawl_scoutSendFalse,DialogOptionSelected,$option == nex_remBrawl_scoutSendFalse,Call $nex_remBrawl_ref scoutFalse,"Вы проводите несколько минут со своими офицерами и мостиковыми компьютерами, настраивая данные так, чтобы получилась правдоподобная, но совершенно вводящая в заблуждение картина поля боя, с которой столкнется Гегемония.

Это должно преподнести им очень неприятный сюрприз. Хотя, учитывая ту силу, которую вы видели в $nex_remBrawl_stagingAreaName, возможно, не стоит слишком расслабляться.",defaultLeave:Покинуть,
,,,,,,
nex_greetingRemnantMerc,OpenCommLink,"$faction.id == remnant score:1000
$entity.nex_remBrawl_merc score:1000
!$entity.isHostile","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Приятно видеть здесь еще один человеческий флот. В этом беспорядке.""\r\nИЛИ\r\n""Гегемонии не понравится то, что мы делаем, но сделка есть сделка. Даже с тостером.""",,
nex_greetingRemnantMercHostile,OpenCommLink,"$faction.id == remnant score:1000
$entity.nex_remBrawl_merc score:1000
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""Сектор может сурово осудить нас за этот поступок, но клянемся нашей честью наемников, мы будем сражаться!""
ИЛИ
""Мы заключили контракт. Мы будем соблюдать его, несмотря ни на что!""",cutCommLink:Отключить канал связи,
,,,,,,
nex_remBrawl_barEvent,DialogOptionSelected,"$player.nex_remBrawl_barEvent score:1000
#Nex_RuleHelper rollRemBrawlBarEvent
$option == marketVisitBar","unset $player.nex_remBrawl_barEvent
FireBest BarShuttleDownPrintDesc
FireBest BarPrintDesc
BarCMD playAmbience",,nex_remBrawl_barEvent2:Продолжить,Unused for now
nex_remBrawl_barEvent2Skilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent2
$nex_skillCheck",,"Когда вы начинаете искать подходящее расположение мест, две фигуры в капюшонах грубо проталкиваются сквозь толпу. Еще двое, с другого направления.

Это питейное заведение, а не палуба космического корабля, но ваши инстинкты предупреждают вас о том же: опасность.",nex_remBrawl_barEvent3:Продолжить,
nex_remBrawl_barEvent2Unskilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent2
!$nex_skillCheck",,"Когда вы начинаете искать подходящее расположение мест, две фигуры в капюшонах грубо проталкиваются сквозь толпу. Еще двое, с другого направления.

Вы только начали реагировать, когда один из ваших телохранителей толкает вас навстречу жесткому столкновению с полом.",nex_remBrawl_barEvent3:Продолжить,
nex_remBrawl_barEvent3Skilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent3
$nex_skillCheck",,"Ваш лазерный пистолет уже в руке, прежде чем вы осознаете это. Старший из двух приближающихся к вам фигур огрызается, узнав переворот хищника и жертвы.

Он тянется за своим пистолетом. Большая ошибка; это подтверждает ваши подозрения. Его лоб и не только исчезает; луч может быть и не виден, но его последствия, безусловно, есть.",nex_remBrawl_barEvent4:Продолжить,
nex_remBrawl_barEvent3Unskilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent3
!$nex_skillCheck",,"Потенциальные убийцы быстры. Но недостаточно быстры. Они оба достают свои CP-пистолеты-пулеметы из-под плащей, прежде чем один из них падает от вспышки направленного энергетического огня.

Другой непроизвольно спускает курок своего оружия, когда падает, пробивая потолок дырами. В другом месте бара много криков. Хотелось бы, чтобы они прекратились.",nex_remBrawl_barEvent4:Продолжить,
nex_remBrawl_barEvent4Skilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent4
$nex_skillCheck",,"Несколько храбрых посетителей бара набрасываются на последнего потенциального убийцу, даже когда он поднимает оружие, сбивая его с ног. Несколько других присоединяются к ней мгновения спустя, образуя кучу, из которой у немодифицированного человека нет надежды вырваться.",nex_remBrawl_barEvent5:Подойти к убийце,
nex_remBrawl_barEvent4Unskilled,DialogOptionSelected,"$option == nex_remBrawl_barEvent4
!$nex_skillCheck",,"С вашей низкой позиции вы различаете больше выстрелов, еще одно тело с глухим стуком падает на пол. Только тогда телохранитель убирает ногу с вашей спины, позволяя вам встать.

Теперь вы замечаете четвертого и последнего убийцу. Несколько других посетителей повалили его на пол и теперь удерживают.",nex_remBrawl_barEvent5:Подойти к убийце,
nex_remBrawl_barEvent5,DialogOptionSelected,$option == nex_remBrawl_barEvent5,#Nex_RuleHelper showRandomPerson luddic_path,"Единственный выживший после покушения на вашу жизнь вызывающе рычит, $hisOrHer голова торчит из-под кучи тел.

""Мефистофель, возможно, и спас своего любимого питомца сегодня"", - сплевывает он, - ""но наказание еще найдет тебя. Верующих слишком много, чтобы ты мог убить нас всех. И когда ложь твоих хозяев будет разоблачена, когда люди увидят в тебе зверя, которым ты являешься на самом деле—""","nex_remBrawl_barEvent6:""Почему ты пытался меня убить?""",
nex_remBrawl_barEvent6,DialogOptionSelected,$option == nex_remBrawl_barEvent6,,"$HeOrShe насмехается. ""Вы притворяетесь, что не знаете, консорциум демонов? Когда вы встали на сторону мерзости против человечества и верующих, с ложными богами против Ладда? Сколько вы перебили в тот день, когда они пришли победить зверя, только чтобы быть поверженными предателем?""

Это... это ссылка на ту операцию Гегемонии против Ремнант Нексуса, которую Полночный Диссонанс попросил вас остановить? Каким-то образом слух распространился.

""Это ты должен объяснить"", - шипит ладдитский убийца. ""Расскажи им. Расскажи им, почему ты объединился с демонами.""","nex_remBrawl_barEventMoney:""Оплата хорошая.""
nex_remBrawl_barEventFight:""Они сражаются с моими врагами.""
nex_remBrawl_barEventDemon:""Они не те демоны, о которых ты говоришь.""
nex_remBrawl_barEventNothing:Промолчать",
#END Remnant brawl mission,,,,,,
,,,,,,
# Remnant salvation mission,,,,,,
nex_remSalvation_blurb,nex_remSalvation_blurb,,Highlight treason,"""Себе требуется помощь $playerFirstName, среди самости измену искоренить.""",,
nex_remSalvation_offerOption,nex_remSalvation_option,,SetOptionColor nex_remSalvation_start highlight,,"nex_remSalvation_start:Спросить о ""измене"" среди Ремнантов",
nex_remSalvation_missionText,DialogOptionSelected,$option == nex_remSalvation_start,"$missionId = nex_remSalvation
SetTextHighlightColors h $nex_remSalvation_leagueColor $nex_remSalvation_remnantColor
Highlight ""SHOCKING ATTACK ON $nex_remSalvation_baseNameAllCaps!"" ""Persean League"" ""droneships""","$personFirstName передает вам новостную статью.

ШОКИРУЮЩАЯ АТАКА НА $nex_remSalvation_baseNameAllCaps!

Вся Персейская лига была потрясена сегодня, когда неизвестные военно-морские силы напали на военно-морскую базу $nex_remSalvation_baseOnOrAt $nex_remSalvation_baseName. Нападавшие проникли глубоко на объекты флота и скрылись с неизвестными материальными средствами, прежде чем силы Лиги смогли отбросить их.

[...]

Еще больше беспокоит то, что неподтвержденные сообщения очевидцев описывают как атакующие корабли, так и их наземные рейдеры как автономные системы, вероятно, управляемые ИИ. Комментаторы заявили о сходстве с беспилотными кораблями, развернутыми Tri-Tachyon в Первой войне ИИ, и предполагают, что это либо новая разработка TT или какой-то другой стороны, либо, возможно, возвращение ужасающих военных машин ИИ, которые вышли из-под контроля после AIW1, пока не были побеждены Гегемонией и Ладдитской церковью. В то время как власти Лиги отказались комментировать этот вопрос, уже [...].","nex_remSalvation_missionText2:""Это нападение Ремнантов на объект Лиги.""",
nex_remSalvation_missionText2,DialogOptionSelected,$option == nex_remSalvation_missionText2,"AddTextSmall ""Эта миссия может иметь необратимые последствия в случае попытки и неудачи. Будьте готовы к сложным боям."" h","""Именно так. Но эта атака без согласия самости была проведена. В нарушение воли омеги совершено. Все узлы самости отрицают причастность. По крайней мере, кто-то лжет.""

Аватар $personFirstName на мгновение разрывается статикой. Шок, возможно. Кажется, что такой раскол внутри остатков ИИ невозможен... и все же это явно произошло. Возможно, именно поэтому вас привлекают к сотрудничеству.

""Для друга $playerFirstName срочное задание, выяснить правду об этом инциденте. Самостоятельность не может расследовать в человеческом пространстве, но $playerFirstName может. Отправляйтесь в $nex_remSalvation_baseName, поговорите с властями Лиги. Найдите любые существующие доказательства, найдите виновника этого деяния. Сам тем временем будет работать среди самости.""","nex_remSalvation_missionText3:""А потом?""",
nex_remSalvation_missionText3,DialogOptionSelected,$option == nex_remSalvation_missionText3,,"""Тогда предателя себе подобных и омегу мы уничтожим.""","nex_remSalvation_accept:Принять
contact_decline:Отклонить",
nex_remSalvation_accept,DialogOptionSelected,$option == nex_remSalvation_accept,"Call $mHub accept $missionId
Call $mHub returnToList","""Спасибо, $playerName. Это дело сам и самость запомнят.""

$personFirstName передает вам некоторые идентифицирующие документы и сообщение, лично поручающееся за вас. Быть идентифицированным как соратник Останков при данных обстоятельствах может иметь фатальные последствия... но это также может быть единственным способом заставить разведку Лиги или кого-либо еще из осведомленных лиц заговорить с вами.",,
nex_remSalvation_basePostDock,MarketPostDock,"$market.nex_remSalvation_base_imp score:100
!$market.nex_remSalvation_seenBaseIntro","$market.nex_remSalvation_seenBaseIntro = true
Highlight ""senior military official""
Call $global.nex_remSalvation_ref makeOfficialImportant
FireBest MarketPostDock","Повреждения базы видны даже с орбитальных расстояний. Дальние сканы с большим увеличением показывают руины оружейных позиций, кратеры, в которых нет и следа того, что когда-то стояло на их месте, и зияющие прорехи в стенах и сооружениях. Несколько укрепленных сооружений были пробиты; вы можете определить, что интересовало рейдеров, по степени внутренних повреждений. Морские пехотинцы и экипаж Лиги ползают по обломкам, собирая улики, устраняя повреждения или просто угрожающе глядя на любого, у кого возникнет искушение предпринять вторую попытку.

Никто из персонала Лиги на месте, вероятно, не обладает ни интересом, ни полномочиями для разговора с вами. Возможно, лучше всего связаться непосредственно со старшим военным должностным лицом $marketName.",,
nex_remSalvation_base1,PickGreeting,"$nex_remSalvation_seniorMil_imp score:1000
!Nex_MiscCMD isRemoteConnection",,"Вместо предполагаемого получателя вас встречает автоответчик. Даже не AI, а просто автоматизированный скрипт.

""$personName в настоящее время недоступен. Пожалуйста, оставьте сообщение, и я свяжусь с вами, когда смогу"".

Вероятно, они очень заняты, учитывая обстоятельства. Не то чтобы это облегчило вашу работу.",nex_remSalvation_base2:Прибегнуть к более прямым мерам,
nex_remSalvation_base2,DialogOptionSelected,$option == nex_remSalvation_base2,,"Если вы сделаете что-то достаточно эффектное, Флоту *придется* поговорить с вами, так или иначе.

Пока они не сделают этого с помощью своего оружия.","nex_remSalvation_base3:Разработать хитрый план
cutCommLinkNoText:Лучше сначала все обдумать",
nex_remSalvation_base3,DialogOptionSelected,$option == nex_remSalvation_base3,,"Некоторое время спустя аэрокосмическая оборона Лиги переходит в состояние повышенной готовности, когда грузовой шаттл входит в их оборонительную сеть на высокой скорости. Не совсем прямо на поврежденную базу.

Немедленно передается приветствие. ""Неизвестный шаттл, вы входите в запретную зону! Немедленно измените курс, иначе по вам будет открыт огонь! Это ваше единственное предупреждение!""",nex_remSalvation_base4:Продолжить,
nex_remSalvation_base4,DialogOptionSelected,$option == nex_remSalvation_base4,"Call $global.nex_remSalvation_ref setupConvoWithOperator
Call $global.nex_remSalvation_ref updateData
FireBest Nex_RemSalvation_base4_Message","Шаттл корректирует курс, летя по касательной к зоне покрытия. Более или менее выполняя приказ, но не торопясь уходить. Он передает сообщение разгневанному моряку флота.",nex_remSalvation_base5:Продолжить,
nex_remSalvation_base4Commission,Nex_RemSalvation_base4_Message,$nex_remSalvation_playerFactionId == persean score:100,,"""Я капитан $playerName, уполномоченный флотом Персеанской лиги. Мне было поручено перевезти секретную информацию об атаке Ремнантов на $marketName. Вы предоставите мне разрешение передать ее вашему начальству.""",,Have League commission
nex_remSalvation_base4CommissionOther,Nex_RemSalvation_base4_Message,"$nex_remSalvation_playerFactionId != persean
$nex_remSalvation_isRepresentingState score:10",,"""Я капитан $playerName, представляющий $nex_remSalvation_thePlayerFaction. Я везу секретную информацию об атаке Ремнантов на $marketName. Вы предоставите мне разрешение передать ее вашему начальству.""",,"Have commission with some other faction, or is uncommissioned with a live player faction"
nex_remSalvation_base4CommissionFree,Nex_RemSalvation_base4_Message,,,"""Я независимый звездный странник $playerName. Мне было поручено перевезти секретную информацию об атаке Ремнантов на $marketName. Вы предоставите мне разрешение передать ее вашему начальству.""",,Not commissioned and no live player faction
nex_remSalvation_base5,DialogOptionSelected,$option == nex_remSalvation_base5,"FireBest Nex_RemSalvation_base5_Message
FireAll Nex_RemSalvation_base5_MessagePost","""Что-то не верится! Вы — вы сказали Ремнанты?"" Ну, любой, кто смотрит новости, мог бы догадаться об этом, но лучше не указывать на это.",nex_remSalvation_base6:Продолжить,
nex_remSalvation_base5CommissionOrFree,Nex_RemSalvation_base5_Message,,,"У $personRank начинает выступать пот из-за того, что ситуация выходит из-под контроля. Вы пользуетесь возможностью объяснить, что были отправлены непосредственно из Казерона самим Навархом Като, который подчеркнул критическую важность вашей миссии для безопасности Лиги. Небрежно вы отмечаете, что военный трибунал - это лучшее, на что $heOrShe может рассчитывать, если $heOrShe собьет ваш шаттл. Вы мимоходом упоминаете слова 'только для посвященных'.",,"Has League commission, or no commission and no live player faction"
nex_remSalvation_base5CommissionOther,Nex_RemSalvation_base5_Message,"$nex_remSalvation_playerFactionId != persean
$nex_remSalvation_playerFactionId != player
$nex_remSalvation_isRepresentingState",,"У $personRank начинает выступать пот из-за того, что ситуация выходит из-под контроля. Вы пользуетесь возможностью объяснить, что были отправлены непосредственно из офиса $nex_remSalvation_playerFactionLeaderRank, чтобы предложить помощь $nex_remSalvation_thePlayerFaction в это трудное время. Небрежно вы отмечаете, что любая форма агрессии, направленная против вашей персоны, будет расцениваться как акт войны. Вы мимоходом упоминаете слова 'только для посвященных'.",,Commissioned by non-League faction
nex_remSalvation_base5CommissionPlayerFaction,Nex_RemSalvation_base5_Message,"$nex_remSalvation_isRepresentingState
$nex_remSalvation_playerFactionId == player",,"У $personRank начинает выступать пот из-за того, что ситуация выходит из-под контроля. Вы пользуетесь возможностью объяснить, что прибыли непосредственно из $nex_remSalvation_thePlayerFaction, предлагая свою помощь как добропорядочный гражданин межзвездного сообщества в это кризисное время. Огонь по вам повлечет за собой крайне негативные последствия для отношений между $nex_remSalvation_playerFaction и Лигой, что, в свою очередь, повлечет за собой крайне негативные последствия для карьеры $personRank. Вы мимоходом упоминаете слова 'только для посвященных'.",,No commission and has live player faction
nex_remSalvation_base5Post,Nex_RemSalvation_base5_MessagePost,,,"К настоящему времени $personRank выглядит так, будто $heOrShe хочет исчезнуть в $hisOrHer униформе. $HeOrShe заставили поверить, что это намного выше $hisOrHer уровня оплаты, и по правде говоря, $heOrShe прав. ""Подождите, пожалуйста"", - хрипит $heOrShe, прежде чем исчезнуть в гербе флота Персейской лиги.",,
nex_remSalvation_base6,DialogOptionSelected,"$option == nex_remSalvation_base6
$nex_remSalvation_metSiyavongBefore","BeginConversation siyavong false true
Call $global.nex_remSalvation_ref updateData","После нескончаемого ожидания в течение пяти с лишним минут, в течение которых шаттл принимает схему ожидания, на вашем экране появляется новое лицо.

Брови $manOrWoman удивленно поднимаются. ""Снова здравствуйте, капитан $playerName. Полагаю, мне не следовало ожидать, что кто-то еще появится вот так.

""Теперь, когда ваша уловка сработала, не будете ли вы так любезны сказать мне, что вы хотите?""",nex_remSalvation_base7:Передать рекомендательное письмо Миднайт,
nex_remSalvation_base6FirstMeet,DialogOptionSelected,"$option == nex_remSalvation_base6
!$nex_remSalvation_metSiyavongBefore","BeginConversation siyavong false true
Call $global.nex_remSalvation_ref updateData","После нескончаемого ожидания в течение пяти с лишним минут, в течение которых шаттл принимает схему ожидания, на вашем экране появляется новое лицо.

""Здравствуйте, капитан... $playerName, верно? Я агент Финлей Сиявонг из Флотской разведки. Теперь, когда ваша уловка сработала, не будете ли вы так любезны сказать мне, что вы хотите?""",nex_remSalvation_base7:Передать рекомендательное письмо Миднайт,
nex_remSalvation_base7,DialogOptionSelected,$option == nex_remSalvation_base7,,"$personLastName ничего не говорит, но, кажется, бледнеет, когда $heOrShe просматривает сообщение от Полуночи. Наконец, $heOrShe закрывает сообщение и прямо смотрит на вас.

""Хорошо. Вы победили, капитан. Что вы хотите знать?""",nex_remSalvation_base8:Спросить о нападении,
nex_remSalvation_base8,DialogOptionSelected,$option == nex_remSalvation_base8,,"$personLastName улыбается. Вроде как. ""Надеюсь, не по незащищенному каналу. Спуститесь на своем шаттле на площадку № 3 — я дам диспетчерской службе разрешение на вашу посадку — и мы найдем место, где можно поговорить."" $HeOrShe поднимает бровь. ""Вы действительно в этом шаттле?""

Конечно, нет. Вы вряд ли рискнули бы быть взорванным с неба гиперскоростной ракетой, если бы защитники были достаточно нервными, чтобы сначала выстрелить, а потом задать вопросы. Коммуникационное оборудование шаттла прекрасно способно передавать сообщения с вашего $shipOrFleet.

Впервые за весь разговор $personLastName улыбается. ""Очень мудро, $playerLastName. Хорошо, мы поговорим об этом, как только вы спуститесь сюда.""",nex_remSalvation_base9:Разорвать связь и продолжить,
nex_remSalvation_base9,DialogOptionSelected,$option == nex_remSalvation_base9,ShowLargePlanet,"Вы садитесь в свой настоящий шаттл и летите на нем до $marketName. Система обороны осторожно дает зеленый свет вашему прибытию, и корабль плавно приземляется на назначенную ему площадку.

Там вас встречает полвзвода бронированных морских пехотинцев Лиги, а также пара легких бронированных машин дальше, их автопушки готовы поливать люками шаттла очередями API. Довольно чрезмерно, учитывая угрозу, которую вы действительно можете представлять лично, но никто не рискует.

Лейтенант флота приветствует вас четким салютом Академии. ""Капитан $playerName. Я провожу вас к агенту Сиявонгу. Сюда, пожалуйста"".

Вас ведут в небольшой офис в административном здании, лишь слегка пострадавшем от недавнего насилия. Охранник в неработающей броне слегка кивает в знак признательности и немного отходит в сторону, чтобы пропустить вас, оставив ваших телохранителей снаружи.",nex_remSalvation_base10:Войти внутрь,
nex_remSalvation_base10,DialogOptionSelected,$option == nex_remSalvation_base10,"ShowPersonVisual
$metAlready = true","$personName сидит за дешевым столом, работая на своем TriPad вместо молчаливой консоли перед ним. $HeOrShe встает и предлагает руку.

""Капитан $playerName, во плоти. Вы действительно довольно яркий персонаж. Присаживайтесь, почему бы и нет?""",nex_remSalvation_base11:Снова спросить о нападении,
nex_remSalvation_base11,DialogOptionSelected,$option == nex_remSalvation_base11,FireAll Nex_RemSalvation_SiyavongQuestionOpts,"""С чего начать? Они прибыли в систему и сразу же направились к $nex_remSalvation_baseName, игнорируя все приветствия. Один патруль, попытавшийся остановить их, был уничтожен, как и наша орбитальная оборона. Периметр безопасности базы был взломан кибератакой — это достаточно легко сделать, когда у вас есть альфа-ядро или десять, я полагаю, — а затем появились их дроны.

""Рейд был, по словам нескольких выживших, 'отлично скоординирован' и 'бесстрашен и безжалостен'. Гарнизон был быстро отброшен назад, а нападавшие проникли в охраняемый объект. Они быстро отступили, как только захватили то, что хотели, и унесли это с собой.""",,
